"Source","Target","Type","Weight","Source_CpG_Gene","Target_CpG_Gene"
"cg05058069","cg27111053","CpG-CpG",14.3982872694237,"BANP","CADPS"
"cg07645529","cg13676902","CpG-CpG",14.3313404797931,"TMTC4","ZMIZ1"
"cg20059012","cg13676902","CpG-CpG",14.2385864265562,"RARG","ZMIZ1"
"cg07645529","cg15668468","CpG-CpG",14.2385864265562,"TMTC4","VAX1"
"cg04426802","cg05556923","CpG-CpG",14.2064017431848,"FAM53B","PDGFA"
"cg11464571","cg09549949","CpG-CpG",14.1484097962071,"GNAI1","HDAC4"
"cg20059012","cg13036352","CpG-CpG",14.1350458346491,"RARG","KIAA1949"
"cg23978242","cg08688169","CpG-CpG",14.1220808574848,"DIP2C","P2RX7"
"cg27107893","cg19462022","CpG-CpG",14.0972572737597,"NR3C1","RASA3"
"cg13711238","cg09231673","CpG-CpG",14.0514997831991,"FAM110B","DEPDC7"
"cg10729426","cg14501977","CpG-CpG",14.0303104841291,"ZNF549","CCDC92"
"cg06287775","cg04155024","CpG-CpG",13.9908019428454,"FOXK1","PIGA"
"cg13711238","cg16937168","CpG-CpG",13.9908019428454,"FAM110B","SNED1"
"cg06287775","cg12546981","CpG-CpG",13.9908019428454,"FOXK1","TAAR6"
"cg00765686","cg15668468","CpG-CpG",13.954589770191,"NHS","VAX1"
"cg02067585","cg07108579","CpG-CpG",13.954589770191,"ATP11A","SATB1"
"cg06111374","cg06728055","CpG-CpG",13.9375564308922,"GRIN2B","WWTR1"
"cg11257935","cg06063519","CpG-CpG",13.8827077628849,"CNOT8","IGF1R"
"cg06063519","cg08304084","CpG-CpG",13.8754085241434,"IGF1R","SALL1"
"cg21049501","cg17402907","CpG-CpG",13.8611680850288,"SOX9","KCNQ1"
"cg11672338","cg10729426","CpG-CpG",13.8084617345128,"DIP2C","ZNF549"
"cg11464571","cg25037165","CpG-CpG",13.8084617345128,"GNAI1","TEAD1"
"cg22502450","cg25037165","CpG-CpG",13.7962272780958,"H1FOO","TEAD1"
"cg11464571","cg11257935","CpG-CpG",13.7962272780958,"GNAI1","CNOT8"
"cg10645314","cg15668468","CpG-CpG",13.7902369144066,"ALLC","VAX1"
"cg10645314","cg10378325","CpG-CpG",13.7614651718365,"ALLC","CLCA2"
"cg22193385","cg23978242","CpG-CpG",13.7504697875351,"KRT7","DIP2C"
"cg13711238","cg02632490","CpG-CpG",13.7190613232835,"FAM110B","MIR346"
"cg23978242","cg07891862","CpG-CpG",13.7190613232835,"DIP2C","PTK2"
"cg05058069","cg24873410","CpG-CpG",13.7140405219084,"BANP","RPS6KA2"
"cg07645529","cg22193385","CpG-CpG",13.7140405219084,"TMTC4","KRT7"
"cg10749994","cg15668468","CpG-CpG",13.6712885414875,"DNMT3A","VAX1"
"cg07645529","cg07249433","CpG-CpG",13.6623336988345,"TMTC4","INPP5A"
"cg23978242","cg14794936","CpG-CpG",13.653559774527,"DIP2C","LDB3"
"cg07645529","cg09929879","CpG-CpG",13.6282539092623,"TMTC4","DIP2C"
"cg00497472","cg08304084","CpG-CpG",13.6201360190401,"GAK","SALL1"
"cg02067585","cg11464571","CpG-CpG",13.5671999438523,"ATP11A","GNAI1"
"cg07645529","cg11740348","CpG-CpG",13.5297081335599,"TMTC4","INPP5A"
"cg20059012","cg12620935","CpG-CpG",13.501271430144,"RARG","ARL15"
"cg13711238","cg25037165","CpG-CpG",13.498223737062,"FAM110B","TEAD1"
"cg13711238","cg09224689","CpG-CpG",13.4832980591321,"FAM110B","PAX6"
"cg11946963","cg03070236","CpG-CpG",13.4494397918711,"NCAM1","ADCY9"
"cg05099464","cg20532937","CpG-CpG",13.4205636641349,"ARHGEF12","FRMD4A"
"cg04545636","cg25037165","CpG-CpG",13.4180313276195,"CUGBP2","TEAD1"
"cg08304084","cg22549545","CpG-CpG",13.4130105262444,"SALL1","RPS6KA2"
"cg10729426","cg07660750","CpG-CpG",13.3702585458235,"ZNF549","PAX6"
"cg05058069","cg13676902","CpG-CpG",13.3702585458235,"BANP","ZMIZ1"
"cg10729426","cg23866687","CpG-CpG",13.3111370937048,"ZNF549","MAML2"
"cg04468081","cg07891862","CpG-CpG",13.3033117561929,"MCF2L2","PTK2"
"cg13676902","cg19462022","CpG-CpG",13.2880717896361,"ZMIZ1","RASA3"
"cg23978242","cg03070236","CpG-CpG",13.2487260579071,"DIP2C","ADCY9"
"cg10729426","cg13939297","CpG-CpG",13.2158092117066,"ZNF549","HCFC2"
"cg13711238","cg03406844","CpG-CpG",13.2142270806968,"FAM110B","TNFAIP6"
"cg07660750","cg03070236","CpG-CpG",13.1594051805086,"PAX6","ADCY9"
"cg04468081","cg05556923","CpG-CpG",13.1457039028312,"MCF2L2","PDGFA"
"cg23978242","cg17425584","CpG-CpG",13.1272204971372,"DIP2C","CADM1"
"cg21049501","cg01879893","CpG-CpG",13.1144836757342,"SOX9","PON1"
"cg21049501","cg27111053","CpG-CpG",13.0602737075066,"SOX9","CADPS"
"cg10645314","cg04155024","CpG-CpG",12.952856057382,"ALLC","PIGA"
"cg10729426","cg14794936","CpG-CpG",12.8871469274146,"ZNF549","LDB3"
"cg12546981","cg26116551","CpG-CpG",12.8514705166453,"TAAR6","ZNF536"
"cg05099464","cg10378325","CpG-CpG",12.8097043519039,"ARHGEF12","CLCA2"
"cg10351284","cg08304084","CpG-CpG",12.773890568895,"MTSS1","SALL1"
"cg19389468","cg23978242","CpG-CpG",12.7344816821509,"HMG20A","DIP2C"
"cg00497472","cg22549545","CpG-CpG",12.5722124667229,"GAK","RPS6KA2"
"cg06287775","cg01931994","CpG-CpG",12.5636546630876,"FOXK1","FAM5B"
"cg15773893","cg08370787","CpG-CpG",12.5504405209813,"DOCK10","ADRB2"
"cg04426802","cg02067585","CpG-CpG",12.5456717493442,"FAM53B","ATP11A"
"cg01931994","cg11740348","CpG-CpG",12.4994402490112,"FAM5B","INPP5A"
"cg06059360","cg06728055","CpG-CpG",12.498223737062,"NKTR","WWTR1"
"cg24587400","cg00637826","CpG-CpG",12.4451184180885,"BIN1","DUSP16"
"cg15039797","cg22549545","CpG-CpG",12.4427064092121,"HIPK2","RPS6KA2"
"cg14009912","cg06063519","CpG-CpG",12.3486386126261,"SHC3","IGF1R"
"cg25017994","cg04155024","CpG-CpG",12.3392711135795,"MOG","PIGA"
"cg00765686","cg18961064","CpG-CpG",12.3296891679865,"NHS","CARKD"
"cg06111374","cg03070236","CpG-CpG",12.3147050282747,"GRIN2B","ADCY9"
"cg00305774","cg23978242","CpG-CpG",12.2701034780023,"TMEM88B","DIP2C"
"cg20059012","cg06287775","CpG-CpG",12.2686689779965,"RARG","FOXK1"
"cg07645529","cg24873410","CpG-CpG",12.2402600104458,"TMTC4","RPS6KA2"
"cg04426802","cg23866687","CpG-CpG",12.2319558476572,"FAM53B","MAML2"
"cg04426802","cg03437140","CpG-CpG",12.2054721078347,"FAM53B","KLHDC4"
"cg07891862","cg26116551","CpG-CpG",12.1744165265484,"PTK2","ZNF536"
"cg11946963","cg04155024","CpG-CpG",12.0953313527237,"NCAM1","PIGA"
"cg00765686","cg04155024","CpG-CpG",12.0776794588464,"NHS","PIGA"
"cg10749994","cg17424433","CpG-CpG",12.0447129522006,"DNMT3A","CLCA2"
"cg05058069","cg03070236","CpG-CpG",12.0339447687842,"BANP","ADCY9"
"cg18180230","cg00765686","CpG-CpG",12.0251708444767,"SFRS2B","NHS"
"cg00765686","cg27107893","CpG-CpG",12.0209000612331,"NHS","NR3C1"
"cg10749994","cg11257935","CpG-CpG",12.0065682370499,"DNMT3A","CNOT8"
"cg21049501","cg06111374","CpG-CpG",11.9900473041119,"SOX9","GRIN2B"
"cg07645529","cg20981848","CpG-CpG",11.9671022640579,"TMTC4","BTBD3"
"cg20059012","cg19462022","CpG-CpG",11.8993643863372,"RARG","RASA3"
"cg21049501","cg05339633","CpG-CpG",11.8911813452151,"SOX9","MAP6D1"
"cg13711238","cg21902966","CpG-CpG",11.8449437391,"FAM110B","SATB1"
"cg06111374","cg25037165","CpG-CpG",11.8135164439235,"GRIN2B","TEAD1"
"cg13711238","cg07026882","CpG-CpG",11.7956847490035,"FAM110B","ATP11A"
"cg20981848","cg20532937","CpG-CpG",11.7955642789661,"BTBD3","FRMD4A"
"cg10729426","cg20502039","CpG-CpG",11.793221767956,"ZNF549","SLC25A13"
"cg21049501","cg11740348","CpG-CpG",11.7200218725553,"SOX9","INPP5A"
"cg04426802","cg03070236","CpG-CpG",11.710114725502,"FAM53B","ADCY9"
"cg12546981","cg20532937","CpG-CpG",11.7077958514158,"TAAR6","FRMD4A"
"cg01931994","cg20532937","CpG-CpG",11.6843302946644,"FAM5B","FRMD4A"
"cg00701918","cg22193385","CpG-CpG",11.6824231450502,"RPTOR","KRT7"
"cg23978242","cg20477160","CpG-CpG",11.6763850985068,"DIP2C","SH3BP4"
"cg00765686","cg24567464","CpG-CpG",11.6722849418204,"NHS","DBNDD2"
"cg00701918","cg10645314","CpG-CpG",11.6667880402608,"RPTOR","ALLC"
