"Source","Target","Type","Weight"
"cg06735913","401022","CpG-Gene",2.42041467597986
"cg04085767","401022","CpG-Gene",2.39119373728206
"cg10581898","401022","CpG-Gene",3.05938330134713
"cg17936229","401022","CpG-Gene",2.08448803776052
"cg00218469","401022","CpG-Gene",2.00391733119753
"cg17797848","401022","CpG-Gene",2.33606070055758
"cg07004957","401022","CpG-Gene",1.82655643375522
"cg08341278","401022","CpG-Gene",1.75638232948236
"cg13917614","401022","CpG-Gene",1.73881482823831
"cg15253741","401022","CpG-Gene",2.25496715699471
"cg02444715","401022","CpG-Gene",1.92586381189074
"cg23551841","401022","CpG-Gene",2.56974036698053
"cg23172565","401022","CpG-Gene",2.2705629995678
"cg11139109","401022","CpG-Gene",2.54985025275171
"cg22027151","401022","CpG-Gene",2.49965255832664
"cg04794159","401022","CpG-Gene",2.1535566502834
"cg22658419","401022","CpG-Gene",2.85530872950067
"cg01046865","401022","CpG-Gene",2.25866106381995
"cg26244646","401022","CpG-Gene",2.2517567666263
"cg23293746","401022","CpG-Gene",2.50666021176707
"cg17651173","401022","CpG-Gene",1.65640066866116
"cg21321661","401022","CpG-Gene",2.57667460151832
"cg04256248","401022","CpG-Gene",2.04920884017974
"cg05332914","401022","CpG-Gene",2.17620073641558
"cg22251524","401022","CpG-Gene",2.33401086591409
"cg24641646","401022","CpG-Gene",2.65964507683673
"cg03031009","401022","CpG-Gene",2.13551802484864
"cg21606707","401022","CpG-Gene",2.65219539434903
"cg16978150","401022","CpG-Gene",2.33304560932418
"cg16230121","401022","CpG-Gene",2.41834242233057
"cg22779651","401022","CpG-Gene",2.39871243003706
"cg18109011","401022","CpG-Gene",2.71968268585752
"cg02442222","401022","CpG-Gene",2.27996694247849
"cg22763040","401022","CpG-Gene",2.18134791944872
"cg21617644","401022","CpG-Gene",2.24670655005411
"cg15217684","401022","CpG-Gene",2.01738215670542
"cg16412148","401022","CpG-Gene",2.42150771698657
"cg07563611","401022","CpG-Gene",2.49611128159537
"cg22908413","401022","CpG-Gene",2.17727059117722
"cg12505757","401022","CpG-Gene",2.35077349359324
"cg10176722","401022","CpG-Gene",2.4054448339193
"cg18278736","401022","CpG-Gene",2.50046789763306
"cg22449099","401022","CpG-Gene",2.24746454214539
"cg08017851","401022","CpG-Gene",2.11509872206512
"cg05241973","401022","CpG-Gene",2.00738259729094
"cg03301165","401022","CpG-Gene",2.79942622596312
"cg14114546","401022","CpG-Gene",2.58726098405101
"cg23173687","401022","CpG-Gene",2.26434966930621
"cg02520399","401022","CpG-Gene",3.22812498012736
"cg25466169","401022","CpG-Gene",3.18513745261613
"cg02976109","401022","CpG-Gene",2.46267599865909
"cg22777490","401022","CpG-Gene",2.37857985886095
"cg25037165","401022","CpG-Gene",1.93686725539306
"cg20084795","401022","CpG-Gene",2.84619646799425
"cg11333925","401022","CpG-Gene",2.73098359919445
"cg22550869","401022","CpG-Gene",2.36240495947299
"cg01761970","401022","CpG-Gene",2.25528214084994
"cg26268085","401022","CpG-Gene",2.13181961799481
"cg13487666","401022","CpG-Gene",2.24259343672441
"cg18745725","401022","CpG-Gene",2.41946271518339
"cg07873247","401022","CpG-Gene",2.14831196909753
"cg23317287","401022","CpG-Gene",2.17380229610741
"cg04013758","401022","CpG-Gene",2.23068962953839
"cg10668814","401022","CpG-Gene",1.23125252218662
"cg10539122","105378597","CpG-Gene",3.84341938322027
"cg20785674","105378597","CpG-Gene",5.3338487945223
"cg25610281","105378597","CpG-Gene",3.88960021370238
"cg09396490","105378597","CpG-Gene",4.13089325817118
"cg03826704","105378597","CpG-Gene",4.30087495657222
"cg25883013","105378597","CpG-Gene",4.11563823677499
"cg02473847","105378597","CpG-Gene",4.15981170893257
"cg18361915","105378597","CpG-Gene",4.16822022068424
"cg10277551","105378597","CpG-Gene",3.3824001545538
"cg02628016","105378597","CpG-Gene",3.86599912158598
"cg03819192","105378597","CpG-Gene",3.62939228395655
"cg11523221","105378597","CpG-Gene",4.5177699763138
"cg21951877","105378597","CpG-Gene",4.55598273561072
"cg00452133","105378597","CpG-Gene",4.46418924549005
"cg05180627","105378597","CpG-Gene",4.91557299248168
"cg15844989","105378597","CpG-Gene",3.58502762725425
"cg22892043","105378597","CpG-Gene",4.31207104796548
"cg20005074","105378597","CpG-Gene",4.41934966753219
"cg12472351","105378597","CpG-Gene",4.70388299564609
"cg17158651","105378597","CpG-Gene",5.31104840752158
"cg12873454","105378597","CpG-Gene",4.92729598788923
"cg20820874","105378597","CpG-Gene",4.18990964853622
"cg07552130","105378597","CpG-Gene",5.28872549479767
"cg10056280","105378597","CpG-Gene",4.51147996148295
"cg13096626","105378597","CpG-Gene",4.04142612048514
"cg22846423","105378597","CpG-Gene",4.00155251298895
"cg27178952","105378597","CpG-Gene",4.34356079698207
"cg24409205","105378597","CpG-Gene",3.88596667097826
"cg26734669","105378597","CpG-Gene",4.62927670262595
"cg04426802","105378597","CpG-Gene",2.95281309890728
"cg13169132","105378597","CpG-Gene",3.78771027671619
"cg17101530","105378597","CpG-Gene",4.2803812543326
"cg07989312","105378597","CpG-Gene",4.52331884561417
"cg02238834","105378597","CpG-Gene",3.81414913288924
"cg26389285","105378597","CpG-Gene",2.77762273204671
"cg03620587","105378597","CpG-Gene",4.09909492057448
"cg06735913","105378597","CpG-Gene",4.27225699038002
"cg04085767","105378597","CpG-Gene",3.7182185612184
"cg10581898","105378597","CpG-Gene",4.71845275179843
"cg17936229","105378597","CpG-Gene",3.42474125629928
"cg00218469","105378597","CpG-Gene",3.70744695076094
"cg17797848","105378597","CpG-Gene",3.85750561659959
"cg07004957","105378597","CpG-Gene",4.13347311398216
"cg08341278","105378597","CpG-Gene",4.9731644825771
"cg13917614","105378597","CpG-Gene",4.49354360701786
"cg15253741","105378597","CpG-Gene",4.01744406016179
"cg02444715","105378597","CpG-Gene",4.55888976978058
"cg23551841","105378597","CpG-Gene",4.12389854756581
"cg23172565","105378597","CpG-Gene",4.08467475345187
"cg11139109","105378597","CpG-Gene",4.08700120468778
"cg22027151","105378597","CpG-Gene",4.15704357028617
"cg04794159","105378597","CpG-Gene",4.02704674635549
"cg22658419","105378597","CpG-Gene",4.12273962286419
"cg01046865","105378597","CpG-Gene",3.39772929783749
"cg26244646","105378597","CpG-Gene",4.95117937972485
"cg23293746","105378597","CpG-Gene",4.11133785051741
"cg17651173","105378597","CpG-Gene",2.78829823833738
"cg21321661","105378597","CpG-Gene",3.25450635835581
"cg04256248","105378597","CpG-Gene",4.01628787084038
"cg05332914","105378597","CpG-Gene",4.77936994388696
"cg22251524","105378597","CpG-Gene",4.86564412843029
"cg24641646","105378597","CpG-Gene",4.25798194895101
"cg03031009","105378597","CpG-Gene",4.67115517008564
"cg21606707","105378597","CpG-Gene",4.39360380004781
"cg16978150","105378597","CpG-Gene",3.70926918681599
"cg16230121","105378597","CpG-Gene",4.07309930443528
"cg22779651","105378597","CpG-Gene",4.31680412915495
"cg18109011","105378597","CpG-Gene",4.20117110928689
"cg02442222","105378597","CpG-Gene",4.31396440352474
"cg22763040","105378597","CpG-Gene",3.81721462952327
"cg21617644","105378597","CpG-Gene",3.2284528749915
"cg15217684","105378597","CpG-Gene",3.98881616277252
"cg16412148","105378597","CpG-Gene",4.37287458723082
"cg07563611","105378597","CpG-Gene",4.19986563348542
"cg22908413","105378597","CpG-Gene",3.63632421576332
"cg12505757","105378597","CpG-Gene",2.74683745921304
"cg10176722","105378597","CpG-Gene",3.22615617543815
"cg18278736","105378597","CpG-Gene",4.24578439867778
"cg22449099","105378597","CpG-Gene",3.89099827259636
"cg08017851","105378597","CpG-Gene",5.71624394191603
"cg05241973","105378597","CpG-Gene",4.0961197209774
"cg03301165","105378597","CpG-Gene",4.33785872247951
"cg14114546","105378597","CpG-Gene",4.45921525895839
"cg23173687","105378597","CpG-Gene",3.29907821537001
"cg02520399","105378597","CpG-Gene",3.41746057240689
"cg25466169","105378597","CpG-Gene",4.39570140153579
"cg02976109","105378597","CpG-Gene",3.35527082785793
"cg22777490","105378597","CpG-Gene",4.52143941180745
"cg25037165","105378597","CpG-Gene",3.15982436398921
"cg20084795","105378597","CpG-Gene",4.66244732836661
"cg11333925","105378597","CpG-Gene",5.07989783697764
"cg22550869","105378597","CpG-Gene",3.06568967086763
"cg01761970","105378597","CpG-Gene",3.92114338821377
"cg26268085","105378597","CpG-Gene",3.81985215441841
"cg13487666","105378597","CpG-Gene",4.58405102596208
"cg18745725","105378597","CpG-Gene",4.69995684647217
"cg07873247","105378597","CpG-Gene",4.17185335630226
"cg23317287","105378597","CpG-Gene",3.28888921543602
"cg04013758","105378597","CpG-Gene",4.67872868814432
"cg10668814","105378597","CpG-Gene",3.23798963219919
"cg10539122","1770","CpG-Gene",3.37568573823879
"cg20785674","1770","CpG-Gene",5.10564045408525
"cg25610281","1770","CpG-Gene",4.03938299353412
"cg09396490","1770","CpG-Gene",4.06193532489326
"cg03826704","1770","CpG-Gene",4.22617983657056
"cg25883013","1770","CpG-Gene",3.06726054031823
"cg02473847","1770","CpG-Gene",3.98924424705751
"cg18361915","1770","CpG-Gene",3.56043626410365
"cg10277551","1770","CpG-Gene",4.26145952328528
"cg02628016","1770","CpG-Gene",3.65343909400438
"cg03819192","1770","CpG-Gene",3.68385024054093
"cg11523221","1770","CpG-Gene",4.30428688032358
"cg21951877","1770","CpG-Gene",3.61768720671292
"cg00452133","1770","CpG-Gene",3.58533961564382
"cg05180627","1770","CpG-Gene",4.45533757951821
"cg15844989","1770","CpG-Gene",3.60104505098363
"cg22892043","1770","CpG-Gene",4.27022581593437
"cg20005074","1770","CpG-Gene",4.86464069958971
"cg12472351","1770","CpG-Gene",4.11199024711147
"cg17158651","1770","CpG-Gene",4.54237071978755
"cg12873454","1770","CpG-Gene",4.86841920885277
"cg20820874","1770","CpG-Gene",4.05337865361293
"cg07552130","1770","CpG-Gene",5.21661234931974
"cg10056280","1770","CpG-Gene",3.97017919004032
"cg13096626","1770","CpG-Gene",4.09383327489276
"cg22846423","1770","CpG-Gene",3.95670396198047
"cg27178952","1770","CpG-Gene",4.57307938149493
"cg24409205","1770","CpG-Gene",3.76420598852814
"cg26734669","1770","CpG-Gene",3.79291413091627
"cg04426802","1770","CpG-Gene",4.04091451204253
"cg13169132","1770","CpG-Gene",2.62980137049636
"cg17101530","1770","CpG-Gene",4.16335015344357
"cg07989312","1770","CpG-Gene",3.99502082947756
"cg02238834","1770","CpG-Gene",3.76312177584651
"cg26389285","1770","CpG-Gene",2.35565931658563
"cg03620587","1770","CpG-Gene",4.80293518061052
"cg06735913","1770","CpG-Gene",3.381285716894
"cg04085767","1770","CpG-Gene",3.83964367998432
"cg10581898","1770","CpG-Gene",4.16953254182556
"cg17936229","1770","CpG-Gene",3.83733526459508
"cg00218469","1770","CpG-Gene",3.7058405941299
"cg17797848","1770","CpG-Gene",3.81499623211682
"cg07004957","1770","CpG-Gene",4.49555785948468
"cg08341278","1770","CpG-Gene",4.9713623223163
"cg13917614","1770","CpG-Gene",3.79743850355328
"cg15253741","1770","CpG-Gene",3.40485014439331
"cg02444715","1770","CpG-Gene",4.1824398053001
"cg23551841","1770","CpG-Gene",3.87941289427582
"cg23172565","1770","CpG-Gene",4.42062398398553
"cg11139109","1770","CpG-Gene",3.48306807853534
"cg22027151","1770","CpG-Gene",4.23137743410523
"cg04794159","1770","CpG-Gene",3.61006308820353
"cg22658419","1770","CpG-Gene",4.05320636684349
"cg01046865","1770","CpG-Gene",4.18086361375023
"cg26244646","1770","CpG-Gene",4.773663234934
"cg23293746","1770","CpG-Gene",2.87591330544772
"cg17651173","1770","CpG-Gene",2.31395137131547
"cg21321661","1770","CpG-Gene",2.51071755039961
"cg04256248","1770","CpG-Gene",4.2541877579551
"cg05332914","1770","CpG-Gene",4.17285822738931
"cg22251524","1770","CpG-Gene",4.51064857189816
"cg24641646","1770","CpG-Gene",4.12793692139352
"cg03031009","1770","CpG-Gene",4.10534335674027
"cg21606707","1770","CpG-Gene",4.41290340841368
"cg16978150","1770","CpG-Gene",4.16911066632145
"cg16230121","1770","CpG-Gene",3.66610050066646
"cg22779651","1770","CpG-Gene",3.89792794736357
"cg18109011","1770","CpG-Gene",4.63484824866558
"cg02442222","1770","CpG-Gene",3.63131077360933
"cg22763040","1770","CpG-Gene",3.91468167322276
"cg21617644","1770","CpG-Gene",3.27579445091034
"cg15217684","1770","CpG-Gene",3.8893148679772
"cg16412148","1770","CpG-Gene",4.35619940841294
"cg07563611","1770","CpG-Gene",4.20059856056016
"cg22908413","1770","CpG-Gene",3.21198483615651
"cg12505757","1770","CpG-Gene",1.88243615995577
"cg10176722","1770","CpG-Gene",3.53824489315979
"cg18278736","1770","CpG-Gene",4.04546835283641
"cg22449099","1770","CpG-Gene",3.78922041013884
"cg08017851","1770","CpG-Gene",5.5174956569079
"cg05241973","1770","CpG-Gene",4.10069795300378
"cg03301165","1770","CpG-Gene",4.47583963764687
"cg14114546","1770","CpG-Gene",4.43787989162612
"cg23173687","1770","CpG-Gene",2.95954399043866
"cg02520399","1770","CpG-Gene",4.31639394642589
"cg25466169","1770","CpG-Gene",4.28604913411517
"cg02976109","1770","CpG-Gene",3.98310805960703
"cg22777490","1770","CpG-Gene",4.89286474779906
"cg25037165","1770","CpG-Gene",3.07719854301708
"cg20084795","1770","CpG-Gene",4.89787263026776
"cg11333925","1770","CpG-Gene",3.82891046558004
"cg22550869","1770","CpG-Gene",1.99414090607599
"cg01761970","1770","CpG-Gene",3.58023646628573
"cg26268085","1770","CpG-Gene",3.73035192603992
"cg13487666","1770","CpG-Gene",4.28773260837418
"cg18745725","1770","CpG-Gene",4.22699404607993
"cg07873247","1770","CpG-Gene",3.97047795951969
"cg23317287","1770","CpG-Gene",3.60707239494906
"cg04013758","1770","CpG-Gene",3.87562687873687
"cg10668814","1770","CpG-Gene",2.60663564795844
"cg10539122","79740","CpG-Gene",3.69951441704173
"cg20785674","79740","CpG-Gene",5.42673654471577
"cg25610281","79740","CpG-Gene",3.4643463275223
"cg09396490","79740","CpG-Gene",4.18090412856987
"cg03826704","79740","CpG-Gene",4.71104021948594
"cg25883013","79740","CpG-Gene",3.00159610303789
"cg02473847","79740","CpG-Gene",3.72095720592784
"cg18361915","79740","CpG-Gene",4.08425866909718
"cg10277551","79740","CpG-Gene",4.27679193472682
"cg02628016","79740","CpG-Gene",3.56686930252622
"cg03819192","79740","CpG-Gene",4.04297555048586
"cg11523221","79740","CpG-Gene",4.91870949006955
"cg21951877","79740","CpG-Gene",4.73535321291497
"cg00452133","79740","CpG-Gene",4.265831731166
"cg05180627","79740","CpG-Gene",4.58347049007867
"cg15844989","79740","CpG-Gene",3.87571122468213
"cg22892043","79740","CpG-Gene",5.14218620558691
"cg20005074","79740","CpG-Gene",4.60526707054903
"cg12472351","79740","CpG-Gene",4.15750279972831
"cg17158651","79740","CpG-Gene",5.27405691496633
"cg12873454","79740","CpG-Gene",4.87180104186711
"cg20820874","79740","CpG-Gene",4.25788108626211
"cg07552130","79740","CpG-Gene",5.51440329955798
"cg10056280","79740","CpG-Gene",4.72912549444275
"cg13096626","79740","CpG-Gene",4.29982971754995
"cg22846423","79740","CpG-Gene",4.41377960267172
"cg27178952","79740","CpG-Gene",4.12649012633192
"cg24409205","79740","CpG-Gene",4.10323863493478
"cg26734669","79740","CpG-Gene",4.08466629364996
"cg04426802","79740","CpG-Gene",3.97713332429138
"cg13169132","79740","CpG-Gene",3.3272143077439
"cg17101530","79740","CpG-Gene",4.74067119793158
"cg07989312","79740","CpG-Gene",4.2834411071726
"cg02238834","79740","CpG-Gene",4.01219211590992
"cg26389285","79740","CpG-Gene",2.76953064719385
"cg03620587","79740","CpG-Gene",4.38014640794478
"cg06735913","79740","CpG-Gene",3.60013186905377
"cg04085767","79740","CpG-Gene",4.25198844527876
"cg10581898","79740","CpG-Gene",4.79197305642438
"cg17936229","79740","CpG-Gene",3.76244837661306
"cg00218469","79740","CpG-Gene",3.63276463716652
"cg17797848","79740","CpG-Gene",4.41348089470025
"cg07004957","79740","CpG-Gene",4.92296052484058
"cg08341278","79740","CpG-Gene",5.49343176708402
"cg13917614","79740","CpG-Gene",4.35249240765243
"cg15253741","79740","CpG-Gene",4.19636481604797
"cg02444715","79740","CpG-Gene",4.28878629308162
"cg23551841","79740","CpG-Gene",3.94495144604531
"cg23172565","79740","CpG-Gene",4.30645245815085
"cg11139109","79740","CpG-Gene",4.26929693009086
"cg22027151","79740","CpG-Gene",4.40515690924478
"cg04794159","79740","CpG-Gene",3.75045732213389
"cg22658419","79740","CpG-Gene",4.53533171579644
"cg01046865","79740","CpG-Gene",3.81132031453909
"cg26244646","79740","CpG-Gene",4.42586299162519
"cg23293746","79740","CpG-Gene",3.021921110245
"cg17651173","79740","CpG-Gene",2.39245455881943
"cg21321661","79740","CpG-Gene",2.99998517484447
"cg04256248","79740","CpG-Gene",4.68152360097405
"cg05332914","79740","CpG-Gene",4.42082360235413
"cg22251524","79740","CpG-Gene",4.58110005698622
"cg24641646","79740","CpG-Gene",4.30514035387895
"cg03031009","79740","CpG-Gene",4.19594269627107
"cg21606707","79740","CpG-Gene",4.48033199453107
"cg16978150","79740","CpG-Gene",4.6361055167887
"cg16230121","79740","CpG-Gene",4.10287852546533
"cg22779651","79740","CpG-Gene",4.1935406143793
"cg18109011","79740","CpG-Gene",5.09786175883885
"cg02442222","79740","CpG-Gene",4.20374724851066
"cg22763040","79740","CpG-Gene",3.58124213304345
"cg21617644","79740","CpG-Gene",3.63345213237929
"cg15217684","79740","CpG-Gene",4.28429491449266
"cg16412148","79740","CpG-Gene",4.11391274607028
"cg07563611","79740","CpG-Gene",3.96587436577815
"cg22908413","79740","CpG-Gene",3.26015462698896
"cg12505757","79740","CpG-Gene",1.93170123239281
"cg10176722","79740","CpG-Gene",3.36605054844922
"cg18278736","79740","CpG-Gene",4.3690743241934
"cg22449099","79740","CpG-Gene",3.44042629417181
"cg08017851","79740","CpG-Gene",6.33507135439212
"cg05241973","79740","CpG-Gene",3.94888552243511
"cg03301165","79740","CpG-Gene",4.80815748070856
"cg14114546","79740","CpG-Gene",6.15563104544953
"cg23173687","79740","CpG-Gene",3.33461732360327
"cg02520399","79740","CpG-Gene",4.09308543466409
"cg25466169","79740","CpG-Gene",3.95621309285551
"cg02976109","79740","CpG-Gene",4.08891484781787
"cg22777490","79740","CpG-Gene",4.63349831385807
"cg25037165","79740","CpG-Gene",3.1221008373361
"cg20084795","79740","CpG-Gene",4.7801278621216
"cg11333925","79740","CpG-Gene",4.15162630843635
"cg22550869","79740","CpG-Gene",2.53703591357948
"cg01761970","79740","CpG-Gene",3.99023404690797
"cg26268085","79740","CpG-Gene",4.42910157405087
"cg13487666","79740","CpG-Gene",4.77947623962033
"cg18745725","79740","CpG-Gene",4.42658190439872
"cg07873247","79740","CpG-Gene",4.45407061176926
"cg23317287","79740","CpG-Gene",3.48954532091488
"cg04013758","79740","CpG-Gene",4.39736626033375
"cg10668814","79740","CpG-Gene",2.9462076983801
"cg10539122","129881","CpG-Gene",5.26348977671893
"cg20785674","129881","CpG-Gene",4.6682180096734
"cg25610281","129881","CpG-Gene",4.04886519380104
"cg09396490","129881","CpG-Gene",4.76991672488143
"cg03826704","129881","CpG-Gene",5.98403556599586
"cg25883013","129881","CpG-Gene",4.49497849849172
"cg02473847","129881","CpG-Gene",3.73538084158455
"cg18361915","129881","CpG-Gene",5.53484238396968
"cg10277551","129881","CpG-Gene",5.39918217566352
"cg02628016","129881","CpG-Gene",5.48896940629689
"cg03819192","129881","CpG-Gene",5.93527968692827
"cg11523221","129881","CpG-Gene",5.5671774613559
"cg21951877","129881","CpG-Gene",5.66122513748627
"cg00452133","129881","CpG-Gene",7.49574041883562
"cg05180627","129881","CpG-Gene",5.89012275770941
"cg15844989","129881","CpG-Gene",4.63398145480997
"cg22892043","129881","CpG-Gene",5.12279701346006
"cg20005074","129881","CpG-Gene",5.13024344397061
"cg12472351","129881","CpG-Gene",5.95575224347818
"cg17158651","129881","CpG-Gene",4.30193247559787
"cg12873454","129881","CpG-Gene",4.59716190637445
"cg20820874","129881","CpG-Gene",5.38236638530222
"cg07552130","129881","CpG-Gene",4.47636245474376
"cg10056280","129881","CpG-Gene",4.99331279898006
"cg13096626","129881","CpG-Gene",5.24953924568487
"cg22846423","129881","CpG-Gene",5.29997354771836
"cg27178952","129881","CpG-Gene",4.96821222766408
"cg24409205","129881","CpG-Gene",5.48796001926222
"cg26734669","129881","CpG-Gene",5.45787583192482
"cg04426802","129881","CpG-Gene",5.94307160912237
"cg13169132","129881","CpG-Gene",6.09974490116881
"cg17101530","129881","CpG-Gene",5.67572517588866
"cg07989312","129881","CpG-Gene",5.434842080099
