,1A,1B,2A,2B,3A,3B,4A,4B,5A,5B,6A,6B,7A,7B,9A,9B,10A,10B
cg00279662,0.8864416,0.8917123,0.06512301,0.07395324,0.04904491,0.1336634,0.9126506,0.9345252,0.0991061,0.04680423,0.6005081,0.6458445,0.6888144,0.6574359,0.9313003,0.9163919,0.03010471,0.08093126
rs1416770,0.9617347,0.9690821,0.5185373,0.5473582,0.9715154,0.9573971,0.0378503,0.04273064,0.5600898,0.5221653,0.04248567,0.03846527,0.5319019,0.5895862,0.9660232,0.9692557,0.04174885,0.04782533
cg21211688,0.9387451,0.9326525,0.1550802,0.000794913,0.9424536,0.9382587,0.8945395,0.9097468,0.1829746,0.1554348,0.08963816,0.0837766,0.8849862,0.8057237,0.9386555,0.9256606,0.8805533,0.8819826
cg04957662,0.06653992,0.07627666,0.5552933,0.6292284,0.9284599,0.9119555,0.05959137,0.07270461,0.6311536,0.5909303,0.07768298,0.0733639,0.0551572,0.05882353,0.8962963,0.9143821,0.9276223,0.9193449
rs6626309,0.9306409,0.9465826,0.4666375,0.4763476,0.0291411,0.03336782,0.02574024,0.03534587,0.9707887,0.969013,0.4581492,0.4555151,0.4589751,0.4620675,0.02901155,0.03112473,0.9465785,0.9542144
cg19081270,0.000523286,0.000434594,0.9140777,0.8881015,0.9293894,0.000466636,0.000553097,0.000577034,0.000572082,0.000562114,0.000446828,0.000620347,0.000608273,0.8961327,0.000666223,0.000605694,0.00044823,0.000385357
cg17682313,0.08162736,0.8802768,0.8948445,0.133007,0.08215829,0.1754764,0.171931,0.9182116,0.1777161,0.8979126,0.8924759,0.9011652,0.9068073,0.8567681,0.9075055,0.09059665,0.2157494,0.9053814
rs4742386,0.9561849,0.9661576,0.03765108,0.04452078,0.03483689,0.02835105,0.9481681,0.9635897,0.5215476,0.481701,0.5065404,0.5050302,0.4970075,0.5613994,0.02996812,0.03815211,0.9557114,0.9541956
rs2468330,0.03530369,0.03795209,0.04839355,0.03394256,0.0355591,0.05483895,0.4768096,0.4936978,0.04185162,0.01789474,0.4928874,0.5011723,0.02855065,0.04500267,0.9629259,0.9482122,0.9700119,0.9632957
rs5987737,0.9385519,0.9556044,0.4934678,0.4899623,0.9236438,0.9337394,0.5038409,0.4714872,0.9389823,0.9507872,0.02771739,0.02956132,0.9520824,0.9619048,0.979927,0.9449066,0.02830189,0.03356449
cg01245604,0.03488599,0.0362895,0.05214797,0.04716526,0.03017016,0.03210369,0.8885723,0.8789815,0.9064447,0.8769614,0.05827718,0.04684593,0.8911647,0.908363,0.5024656,0.4805051,0.5467045,0.5694999
cg06405219,0.8904925,0.8792751,0.8860326,0.9018496,0.05342179,0.07170852,0.8888889,0.8780719,0.040105,0.03103516,0.6082326,0.5888122,0.5755102,0.6219954,0.04361371,0.03214286,0.06574776,0.05751192
cg11738485,0.5812548,0.564804,0.02916267,0.01311953,0.02404988,0.04650948,0.04432521,0.03674197,0.9258529,0.9049873,0.9212041,0.9294775,0.02908206,0.04379431,0.02996566,0.03231351,0.5965345,0.571274
cg08880261,0.8399106,0.8421454,0.8671439,0.8694151,0.8499468,0.8650319,0.04170184,0.04607201,0.8626446,0.860746,0.05895334,0.05198427,0.8851372,0.8826566,0.05627354,0.04299326,0.4980269,0.4719592
cg18816122,0.04325069,0.000299043,0.6140967,0.6247221,0.6331106,0.6134096,0.04707061,0.05127136,0.9279325,0.9242525,0.9507238,0.9281828,0.05085797,0.03451464,0.6373789,0.6601547,0.03206883,0.04617635
cg23409591,0.000683995,0.7696183,0.8264335,0.8366368,0.8336076,0.8375425,0.000833333,0.8361388,0.7951617,0.000732064,0.8795438,0.8556419,0.8065323,0.8203817,0.000605694,0.839164,0.000615385,0.8243515
cg21463262,0.4635655,0.4573964,0.8911598,0.8913927,0.04859525,0.04834801,0.0352155,0.0454282,0.04118249,0.03890363,0.04557897,0.04183536,0.8955524,0.8795012,0.8787437,0.9010587,0.4773548,0.4888371
rs2032088,0.4696203,0.4789414,0.4616867,0.4774373,0.0329903,0.03869996,0.9352969,0.9427374,0.9404814,0.9186962,0.9244042,0.9451355,0.03191561,0.02937631,0.0210911,0.02623562,0.4668177,0.5016168
cg21259115,0.9345381,0.9190329,0.9287031,0.9274771,0.9256764,0.9360366,0.9297129,0.9213688,0.5529023,0.5415135,0.9151809,0.9213054,0.9310187,0.9167747,0.01629886,0.03197553,0.03899236,0.03750615
cg04843630,0.9044567,0.9282688,0.9019192,0.9020446,0.1974026,0.04983389,0.9183924,0.9170732,0.9117767,0.9052219,0.895384,0.8834402,0.2687386,0.281337,0.2,0.04285714,0.3062827,0.08591065
cg00718752,0.04816892,0.04221557,0.9176591,0.9310677,0.9341761,0.9265224,0.9061203,0.9473684,0.9257555,0.9135037,0.4602045,0.5068395,0.4738924,0.4578236,0.01135242,0.02478424,0.9408602,0.9140223
cg12568536,0.8726115,0.9484083,0.550032,0.6006882,0.06827309,0.05494505,0.08065844,0.04649524,0.06102966,0.05935659,0.04794521,0.0415594,0.04491556,0.1142322,0.04220045,0.00727167,0.9388655,0.9087533
cg03165426,0.9242663,0.9330886,0.9467444,0.9395529,0.2347354,0.2410501,0.9163186,0.9156768,0.9248568,0.9242866,0.920923,0.9197576,0.9454453,0.9196429,0.1294766,0.07657658,0.1603499,0.1056
rs348937,0.9184743,0.917671,0.9530402,0.9413604,0.4806772,0.4997161,0.4655809,0.4915138,0.9428081,0.9347944,0.0479506,0.04673326,0.03513832,0.02879149,0.441472,0.4526328,0.04027675,0.05874965
cg02610327,0.7708721,0.8284043,0.8155964,0.8671512,0.8608583,0.8940441,0.1306147,0.1532885,0.8165895,0.008016032,0.8215304,0.8896361,0.09606987,0.114031,0.1227455,0.090236,0.1247346,0.7695013
cg12381531,0.9149225,0.9058732,0.2268293,0.04810997,0.07948244,0.02911738,0.2192982,0.2748414,0.8935166,0.9291173,0.925,0.9255679,0.2967359,0.4765432,0.916116,0.8994953,0.2110656,0.1934066
cg17004290,0.1332897,0.1284507,0.9522607,0.9489098,0.9427399,0.9361417,0.493832,0.4695504,0.08706935,0.1087358,0.1223704,0.124136,0.4922735,0.490206,0.1007955,0.09158342,0.9601394,0.9354044
rs2521373,0.930139,0.8925587,0.467986,0.4718668,0.05152618,0.05133317,0.9560534,0.948082,0.490289,0.4308664,0.4582547,0.4767802,0.9458003,0.9732457,0.03934426,0.04382647,0.07277982,0.05337439
cg16899969,0.2678869,0.2833724,0.8840692,0.9011445,0.885327,0.9061171,0.8993289,0.8836152,0.1097046,0.07155963,0.2200393,0.1257764,0.08333333,0.2284569,0.9219326,0.9054084,0.8974835,0.889517
cg13774807,0.6702924,0.6490849,0.8875136,0.9144861,0.0430274,0.04741255,0.661628,0.6348073,0.04261401,0.03677014,0.05356109,0.04591483,0.9034248,0.9159418,0.0440496,0.0470684,0.6570329,0.6230241
cg06273195,0.5223767,0.516664,0.8934321,0.9079739,0.03635498,0.0502994,0.8336473,0.8911855,0.8781622,0.8593826,0.04324759,0.04796939,0.05277211,0.06030702,0.5019528,0.5082985,0.8974359,0.8726815
cg15669985,0.5823452,0.593914,0.04467042,0.05680549,0.5709717,0.5908538,0.9154071,0.9245821,0.9189944,0.9378253,0.9321247,0.9289617,0.5983755,0.6251809,0.01211735,0.03025618,0.06125131,0.08102001
cg01127608,0.9520337,0.9452501,0.08702679,0.07691951,0.4633677,0.4620703,0.948727,0.9627719,0.08070694,0.06079145,0.07578688,0.07505083,0.06967349,0.07363909,0.05834054,0.06042008,0.09466123,0.08094066
cg19300401,0.9486642,0.949252,0.5562233,0.57192,0.5752131,0.5860244,0.04397872,0.04963829,0.05435801,0.02956954,0.9517141,0.941739,0.9264333,0.9490608,0.9484048,0.925228,0.918369,0.9574147
cg18213661,0.7364181,0.717566,0.6968779,0.6928072,0.726162,0.7379104,0.04592212,0.05664194,0.9250814,0.8598643,0.8829488,0.8907803,0.89515,0.8701918,0.0738501,0.0401142,0.04606152,0.06209374
cg15291273,0.02891107,0.03325021,0.03848221,0.03186197,0.03146503,0.04055371,0.02765681,0.03077145,0.04395412,1,0.04698679,0.0317564,0.03376545,0.04329131,1,1,0.03032754,0.03286705
cg03485872,0.03017241,0.02153846,0.2115385,0.06326034,0.8107884,0.8177444,0.8500898,0.9052975,0.8823529,0.8019481,0.1181102,0.2305764,0.2294264,0.3517442,0.01709402,0.150519,0.8911197,0.7802366
cg22274273,0.8438962,0.8698944,0.8517186,0.8757756,0.04656264,0.04830946,0.05302867,0.05458455,0.04845077,0.04436326,0.4927879,0.5063219,0.8720665,0.8693658,0.4772005,0.4669271,0.8689659,0.8943081
cg17348244,0.1309524,0.2050022,0.1254139,0.1258307,0.8438271,0.8803152,0.8518748,0.8587616,0.1326848,0.1459854,0.8703693,0.8747154,0.105889,0.1512297,0.8346647,0.8580247,0.1277245,0.1573651
cg18619880,0.001897533,0.9548756,0.001872659,0.001663894,0.002320186,0.9809564,0.9483114,0.001945525,0.001834862,0.003246753,0.002457002,0.003436426,0.003067485,0.002155172,0.002762431,0.002932551,0.001937984,0.001876173
cg09535768,0.8514364,0.8514811,0.004983389,0.06239737,0.102228,0.1412556,0.8951296,0.881358,0.8761075,0.8604276,0.2300578,0.2169604,0.8990239,0.8965427,0.8568717,0.8695789,0.8870733,0.8990943
cg13324220,0.1330986,0.1358268,0.2115583,0.1260623,0.07017544,0.1395349,0.750515,0.8277873,0.6887667,0.873436,0.8898396,0.8863456,0.9266667,0.9261349,0.262202,0.05794393,0.816396,0.8812657
cg12957945,0.8853417,0.9064123,0.5235961,0.5536945,0.5558906,0.5737866,0.8930577,0.9073213,0.8767741,0.9006437,0.5505652,0.5543394,0.02694691,0.04186468,0.01616076,0.024347,0.03431764,0.04044013
cg19697575,0.1906028,0.2233385,0.8622222,0.8580046,0.8513765,0.8669047,0.1665364,0.1900621,0.1665756,0.1285971,0.8651441,0.8578207,0.8768694,0.8545422,0.01551724,0.131405,0.867153,0.8641468
cg19843426,0.8949029,0.9313365,0.4915959,0.5179868,0.9306363,0.9171733,0.4840986,0.4864182,0.06514253,0.03743989,0.04569892,0.0492201,0.9217936,0.9323292,0.4851476,0.4612701,0.05726189,0.05385072
cg27079096,0.9160218,0.9289197,0.9061564,0.9052838,0.03416955,0.05841325,0.9068616,0.9098592,0.5640602,0.5018391,0.04461998,0.03970402,0.5267476,0.5226116,0.5485552,0.506349,0.03540689,0.05383663
cg08210706,0.9348815,0.8994119,0.9158341,0.9172608,0.02248851,0.0341448,0.9184142,0.9230039,0.9190228,0.9176528,0.5923058,0.5886439,0.9379668,0.9243484,0.5425113,0.5567372,0.0387402,0.04612517
cg19284918,0.581448,0.5917949,0.03850103,0.07854985,0.5724191,0.5528986,0.7924198,0.9094588,0.1194332,0.01178782,0.1055966,0.1047359,0.07815126,0.03496503,0.8891192,0.9143163,0.8545275,0.8378679
cg18554395,0.8876357,0.8521615,0.8751071,0.8363284,0.8496659,0.8516616,0.001788909,0.001579779,0.8399638,0.001748252,0.8198856,0.8700486,0.8518966,0.001215067,0.8607894,0.8429634,0.8791129,0.8529464
cg08914944,0.03923872,0.06021989,0.5425924,0.5658006,0.05599627,0.0892054,0.8775179,0.8622695,0.868959,0.8223654,0.5883768,0.5780643,0.8402831,0.8843942,0.06862559,0.05252876,0.05618189,0.08437681
cg17151385,0.09059233,0.06176471,0.191601,0.1595442,0.9133506,0.8920839,0.849162,0.9189332,0.4276986,0.04833837,0.9156301,0.8640333,0.897773,0.8693035,0.8956814,0.9076778,0.9101805,0.92
cg24643105,0.01965138,0.01608487,0.9264806,0.9190514,0.9304548,0.9262783,0.02214898,0.01332119,0.5185487,0.456833,0.499028,0.5433123,0.9222222,0.9238057,0.9216707,0.936044,0.5223349,0.525276
cg16995742,0.6165986,0.5527251,0.6024601,0.5814988,0.9087719,0.8922647,0.05409631,0.06013552,0.0707331,0.02353354,0.6060729,0.6295665,0.04631761,0.07933951,0.9076404,0.9191865,0.9187073,0.9148479
cg08238375,0.5491234,0.5629846,0.07334552,0.0704978,0.9304803,0.9405758,0.06755594,0.05073211,0.065957,0.05564542,0.5961208,0.5904289,0.5663899,0.628179,0.05237237,0.04822531,0.9300187,0.9279035
cg02173328,0.04599659,0.05496988,0.05236753,0.05367923,0.04618213,0.06366348,0.4994417,0.4979554,0.8740014,0.878365,0.8486198,0.8499919,0.8753671,0.8838484,0.8564512,0.8209377,0.4997522,0.5297493
cg06728147,0.5328664,0.5351753,0.06485092,0.04785577,0.0599366,0.06416602,0.05707932,0.04830964,0.05183932,0.04127759,0.905862,0.9123253,0.5451841,0.538106,0.9016809,0.9015679,0.05950005,0.06237388
cg04540199,0.7894893,0.8123194,0.8175453,0.8290739,0.05951506,0.05580819,0.4874858,0.4684655,0.1882129,0.1164241,0.8073936,0.850958,0.8400357,0.8389329,0.05453977,0.03738768,0.05324881,0.06413772
cg00295418,0.007898894,0.02320102,0.5325221,0.5460337,0.5567363,0.5547876,0.03921569,0.03324018,0.9123711,0.9040149,0.9091099,0.8999088,0.9243983,0.9118059,0.8954687,0.8899909,0.8803153,0.9081735
cg18285337,0.5039194,0.522409,0.908643,0.9183999,0.03338556,0.04009721,0.03703069,0.03245848,0.5116969,0.4898077,0.9105632,0.909653,0.0202259,0.02668042,0.02163173,0.01785256,0.5261194,0.5582578
cg25099095,0.9110224,0.9018011,0.8968958,0.9176551,0.5352402,0.5323587,0.04937907,0.04299584,0.9177808,0.9166558,0.03641995,0.04866262,0.9149407,0.9261382,0.5018104,0.5170132,0.916494,0.9217888
cg17802005,0.9288597,0.9639331,0.9567656,0.9658394,0.9615734,0.9564836,0.940246,0.9269951,0.9171163,0.9328179,0.924834,0.9670038,0.9395947,0.9336453,0.001730104,0.9492526,0.000901713,0.001953125
cg10528424,0.7973483,0.833283,0.5068555,0.4660293,0.4910265,0.5276621,0.8107722,0.8568001,0.02846805,0.01670305,0.03690765,0.03749183,0.02235705,0.0312174,0.01477495,0.02694718,0.8101761,0.8214576
cg03122926,0.8427788,0.871473,0.01661519,0.01445967,0.339631,0.3455964,0.01524363,0.01837791,0.8951356,0.8663703,0.343519,0.3486122,0.8641082,0.8636662,0.006413884,0.0127011,0.3516775,0.3690485
cg22162544,0.001298701,0.001381215,0.000680735,0.000720461,0.000952381,0.001184834,0.9301122,0.001122334,0.9520705,0.001930502,0.000821018,0.9476414,0.001270648,0.001322751,0.001149425,0.000959693,0.001153403,0.000874126
cg15128295,0.05582117,0.03913329,0.0640014,0.06266864,0.9120879,0.9282662,0.9232593,0.9306718,0.5600457,0.558912,0.9381803,0.9306746,0.9280419,0.9150115,0.921877,0.9200439,0.5093445,0.5508858
cg07697459,0.1651842,0.0130719,0.1882146,0.2659479,0.8643288,0.8717614,0.8650239,0.8944993,0.8480471,0.8279929,0.2877604,0.1459538,0.8917987,0.8840646,0.1082474,0.2103611,0.8811246,0.8694728
cg00156497,0.03645506,0.040225035,0.86821625,0.877358026,0.900613222,0.890416725,0.034645669,0.045285883,0.883066327,0.884034225,0.881438721,0.884014051,0.47167307,0.501540832,0.892757382,0.878898791,0.872205461,0.907583827
cg26033510,0.8907496,0.8791209,0.5789779,0.5895506,0.08083512,0.05663346,0.9240506,0.9229385,0.07190413,0.03549456,0.5814897,0.6072261,0.9119678,0.8797071,0.01964183,0.0614364,0.5930329,0.5604709
cg16802892,0.5455892,0.604517,0.9246197,0.9383023,0.09117834,0.0892676,0.593891,0.625,0.05616169,0.04416562,0.8929546,0.9190207,0.9199134,0.8847647,0.6073451,0.6123088,0.05347698,0.07775804
cg13989295,0.5415573,0.5885683,0.8811298,0.8905348,0.8942539,0.8951109,0.03454681,0.04854369,0.5793118,0.5518717,0.5492716,0.5395189,0.8606417,0.9443359,0.05458384,0.02972544,0.05193873,0.06627219
cg06293782,0.1479915,0.0225,0.8851313,0.879346,0.3229527,0.3108729,0.8957553,0.8734749,0.9134126,0.8880607,0.8821127,0.9095005,0.06015038,0.1577778,0.8977636,0.9272087,0.8881996,0.9111513
rs10936224,0.4877866,0.4265784,0.970339,0.9351958,0.4352373,0.4498517,0.04193164,0.05439629,0.4615016,0.5411969,0.05901961,0.03750212,0.03424771,0.1162717,0.9525453,0.9148542,0.01552636,0.07298578
cg14974711,0.7783799,0.08625647,0.1003552,0.1127905,0.7912531,0.06788563,0.07888563,0.8330755,0.07748184,0.06999498,0.1162236,0.1034483,0.09916201,0.7906086,0.7991438,0.07597646,0.9476205,0.08086312
cg13835576,0.780206,0.8336252,0.03746248,0.8306186,0.8207067,0.8627701,0.8190372,0.043362,0.8034519,0.8073003,0.8114373,0.04041625,0.8197333,0.03935721,0.7937458,0.8252962,0.04297779,0.8085009
cg03964373,0.9045319,0.9133138,0.8879362,0.9074241,0.895332,0.9223595,0.03594937,0.06678261,0.908728,0.8849722,0.07268063,0.05725834,0.9095703,0.8705826,0.9066239,0.9144123,0.5404205,0.5708016
cg11758647,0.8639944,0.8403784,0.8634649,0.8751989,0.8702605,0.8766367,0.8653591,0.8496599,0.8684138,0.8494359,0.1860119,0.05882353,0.3096774,0.08423913,0.8600187,0.8524514,0.07565789,0.08269231
cg05961492,0.05336358,0.07486063,0.8630897,0.8630419,0.06748936,0.08066332,0.05517024,0.05729506,0.8586502,0.8515687,0.8478466,0.8698376,0.5767786,0.5525315,0.5640677,0.5643717,0.8647386,0.8467635
cg08896901,0.1169154,0.2026826,0.8737005,0.8779791,0.2735703,0.3576642,0.8717878,0.8760918,0.1233672,0.005524862,0.8772076,0.9121295,0.8817062,0.8744694,0.2739421,0.2288961,0.8977176,0.8705498
cg11400162,0.904819,0.8856612,0.05877084,0.06841074,0.5137164,0.532334,0.05402738,0.05017596,0.5040909,0.5015787,0.8905807,0.8995063,0.04713734,0.04265329,0.05374299,0.04054605,0.060896,0.07596615
cg19268168,0.07282609,0.04914934,0.9672006,0.9372702,0.9055709,0.8484461,0.9160366,0.9248798,0.9012216,0.9070322,0.5229541,0.5481372,0.9100817,0.8371935,0.02420016,0.05040701,0.5,0.5933936
cg03586128,0.000263089,0.7916553,0.000189681,0.7896185,0.000197707,0.7526176,0.7729684,0.000274801,0.000168719,0.000248818,0.000224215,0.7585109,0.000237643,0.000204834,0.000240674,0.000239349,0.0001844,0.000199442
cg10499451,0.8821813,0.884725,0.8804365,0.9090684,0.03300142,0.06382707,0.9099699,0.9158466,0.5405703,0.5005356,0.5629855,0.5407825,0.9146817,0.8911879,0.03190217,0.04362465,0.9194288,0.9120073
cg07437923,0.04302748,0.06789582,0.5556483,0.6137949,0.06136475,0.05416565,0.0488349,0.04836415,0.8773974,0.8461692,0.05272293,0.04821601,0.8891158,0.8831212,0.542164,0.5052386,0.04711674,0.05434308
cg02302183,0.1451991,0.2834225,0.8903858,0.8809786,0.9052776,0.8812613,0.2284123,0.1158798,0.9007907,0.8815839,0.9125177,0.9093535,0.9154309,0.9250337,0.135,0.1159696,0.9131181,0.8806823
cg24057558,0.4912102,0.5992933,0.5791515,0.6220859,0.07040679,0.1043025,0.9129768,0.8763647,0.9017101,0.8991412,0.6085786,0.5798669,0.9093572,0.911994,0.04402516,0.07051412,0.05925051,0.05034722
cg24991845,0.6590187,0.7259348,0.03596164,0.06720702,0.07393209,0.09791922,0.09023941,0.06873823,0.6978617,0.6678068,0.7049132,0.7146732,0.9332897,0.8930448,0.03920486,0.09678878,0.03705318,0.07539041
cg05305893,0.8928666,0.8806579,0.8850686,0.9065001,0.1964549,0.05543237,0.890552,0.9065892,0.2440191,0.0720339,0.9009849,0.913131,0.8950676,0.8992214,0.8889823,0.8854406,0.2120301,0.2448378
cg02299007,0.08858882,0.0932361,0.09771326,0.08887024,0.8995323,0.8738965,0.8611579,0.8586987,0.8867151,0.8771879,0.8614519,0.890343,0.5252531,0.5045862,0.07722885,0.07705767,0.5269616,0.5445654
cg10584449,0.524849,0.5115181,0.9059229,0.8922119,0.04461519,0.03999522,0.8911971,0.8759496,0.03457025,0.03183716,0.5305229,0.533953,0.8942928,0.9082039,0.9010758,0.8569297,0.8916865,0.9068988
rs877309,0.02060761,0.02069902,0.9701554,0.959507,0.9684129,0.9563154,0.5418661,0.5403586,0.5472579,0.51388,0.02315904,0.02836446,0.5395141,0.5612485,0.5182073,0.5285879,0.9605869,0.9626545
cg12795959,0.7307167,0.7582251,0.7749077,0.8288114,0.1286624,0.1309216,0.1951952,0.2169811,0.03692066,0.02625821,0.741715,0.7815068,0.1399354,0.1088083,0.02952868,0.05555556,0.8288997,0.8726666
cg16579946,0.04811637,0.008688784,0.02993822,0.0713697,0.6221681,0.6348116,0.5729212,0.5608186,0.8579424,0.8892344,0.06812227,0.07712387,0.8805893,0.8622917,0.8888446,0.8931116,0.5930531,0.5635804
rs2385226,0.9695564,0.9722149,0.03439108,0.03941429,0.4105201,0.3992681,0.3908258,0.3956876,0.409434,0.3938402,0.392495,0.3935689,0.03195844,0.03048171,0.02974308,0.02522713,0.9795352,0.9743797
